epoch,loss,accuracy
0,0.5511574149131775,0.7304074168205261
1,0.5504010915756226,0.7321567535400391
2,0.5496729016304016,0.7316902279853821
3,0.5492265224456787,0.7333618402481079
4,0.5489134192466736,0.731923520565033
5,0.5482166409492493,0.7329730987548828
6,0.5475718379020691,0.7327398657798767
7,0.5473719835281372,0.7334007024765015
8,0.5472557544708252,0.7323122620582581
9,0.5467054843902588,0.7333618402481079
10,0.5465743541717529,0.7330508232116699
11,0.5456804633140564,0.7338672280311584
12,0.5453301072120667,0.7343336939811707
13,0.5453066229820251,0.7356165647506714
14,0.5447935461997986,0.7342948317527771
15,0.545042097568512,0.7346447110176086
16,0.5443736910820007,0.7352666854858398
17,0.5442704558372498,0.7348001599311829
18,0.544194757938385,0.7349556684494019
19,0.5438259840011597,0.7342170476913452
20,0.5437913537025452,0.7354221940040588
21,0.5432028770446777,0.7356554269790649
22,0.5429960489273071,0.7355387806892395
23,0.5432329773902893,0.7351111769676208
24,0.5428448915481567,0.7344114184379578
25,0.5424870848655701,0.7366661429405212
26,0.5425925850868225,0.736199676990509
27,0.5424574613571167,0.7355387806892395
28,0.5419747233390808,0.7358109354972839
29,0.5419574975967407,0.7364329099655151
30,0.5417474508285522,0.735888659954071
31,0.5417570471763611,0.736199676990509
32,0.5413399338722229,0.7359663844108582
33,0.5416005849838257,0.7371715307235718
34,0.5414683818817139,0.7371326684951782
35,0.5413251519203186,0.7363551259040833
36,0.5410445332527161,0.7359663844108582
37,0.5410568714141846,0.7367827892303467
38,0.5406473875045776,0.7365494966506958
39,0.5407436490058899,0.7362774014472961
40,0.5405889749526978,0.7368216514587402
41,0.5403501987457275,0.7370548844337463
42,0.5405454039573669,0.7373270392417908
43,0.5402802228927612,0.7369382381439209
44,0.5403997302055359,0.7369382381439209
45,0.5401081442832947,0.7370937466621399
46,0.5401611328125,0.737637996673584
47,0.5399104952812195,0.7378712296485901
48,0.5396280884742737,0.7375602722167969
49,0.539628803730011,0.7372881174087524
50,0.5395147800445557,0.7379878759384155
51,0.5392143726348877,0.7374047636985779
52,0.539174497127533,0.7382599711418152
53,0.539263904094696,0.7378712296485901
54,0.5390981435775757,0.7385321259498596
55,0.538891613483429,0.7367438673973083
56,0.5386886596679688,0.7383766174316406
57,0.5387623906135559,0.7383377552032471
58,0.538578987121582,0.7379878759384155
59,0.5387608408927917,0.7378712296485901
60,0.5384087562561035,0.7380267381668091
61,0.538597047328949,0.7386876344680786
62,0.5381292700767517,0.7379101514816284
63,0.5380918979644775,0.7385321259498596
64,0.5383211970329285,0.7395039796829224
65,0.5381903052330017,0.7380656003952026
66,0.5379108786582947,0.7382599711418152
67,0.5377047657966614,0.737949013710022
68,0.5376965999603271,0.7387264966964722
69,0.5378257632255554,0.7385321259498596
70,0.5376909375190735,0.7382599711418152
71,0.5374885201454163,0.7395817041397095
72,0.5377326011657715,0.7386098504066467
73,0.5371848940849304,0.7385709881782532
74,0.5372246503829956,0.7387264966964722
75,0.5373771786689758,0.7394651174545288
76,0.5370737314224243,0.7384154796600342
77,0.5369194149971008,0.7391929626464844
78,0.5369949340820312,0.7393096089363098
79,0.5365651845932007,0.7391152381896973
80,0.5370346903800964,0.7386098504066467
81,0.5368140339851379,0.738104522228241
82,0.5364698767662048,0.7386876344680786
83,0.5366154909133911,0.7394261956214905
84,0.5363801121711731,0.7385321259498596
85,0.5363779664039612,0.7386487126350403
86,0.5363858342170715,0.7387264966964722
87,0.5362524390220642,0.7391541004180908
88,0.5362648963928223,0.7396983504295349
89,0.5361356735229492,0.7391541004180908
90,0.535747230052948,0.740242600440979
91,0.5358974933624268,0.7388042211532593
92,0.5357284545898438,0.7395817041397095
93,0.5358332991600037,0.7382211089134216
94,0.5355158448219299,0.7394261956214905
95,0.5357506275177002,0.7390374541282654
96,0.5355152487754822,0.7403980493545532
97,0.5357911586761475,0.7394651174545288
98,0.5353280305862427,0.739776074886322
99,0.5355352163314819,0.7388430833816528
